time_s,T_cell_1_K,T_cell_2_K,T_cell_3_K,T_cell_4_K,T_cell_5_K,T_cell_6_K,T_cell_7_K,T_cell_8_K,T_cell_9_K,T_cell_10_K,T_cell_11_K,T_cell_12_K,T_cell_13_K,T_cell_14_K,T_cell_15_K,T_cell_16_K,T_cell_17_K,T_cell_18_K,T_cell_19_K,T_cell_20_K,T_cell_21_K,T_cell_22_K,T_cell_23_K,T_cell_24_K,T_cell_25_K,T_cell_26_K,T_cell_27_K,T_cell_28_K,T_cell_29_K,T_cell_30_K,T_cell_31_K,T_cell_32_K,T_cell_33_K,T_cell_34_K,T_cell_35_K,T_cell_36_K,T_cell_37_K,T_cell_38_K,T_cell_39_K,T_cell_40_K,T_cell_41_K,T_cell_42_K,T_cell_43_K,T_cell_44_K,T_cell_45_K,T_cell_46_K,T_cell_47_K,T_cell_48_K,V_cell_1_V,V_cell_2_V,V_cell_3_V,V_cell_4_V,V_cell_5_V,V_cell_6_V,V_cell_7_V,V_cell_8_V,V_cell_9_V,V_cell_10_V,V_cell_11_V,V_cell_12_V,V_cell_13_V,V_cell_14_V,V_cell_15_V,V_cell_16_V,V_cell_17_V,V_cell_18_V,V_cell_19_V,V_cell_20_V,V_cell_21_V,V_cell_22_V,V_cell_23_V,V_cell_24_V,V_cell_25_V,V_cell_26_V,V_cell_27_V,V_cell_28_V,V_cell_29_V,V_cell_30_V,V_cell_31_V,V_cell_32_V,V_cell_33_V,V_cell_34_V,V_cell_35_V,V_cell_36_V,V_cell_37_V,V_cell_38_V,V_cell_39_V,V_cell_40_V,V_cell_41_V,V_cell_42_V,V_cell_43_V,V_cell_44_V,V_cell_45_V,V_cell_46_V,V_cell_47_V,V_cell_48_V
100.000000,351.729523,354.694885,354.694885,351.729523,351.729523,354.694885,354.694885,351.729523,351.729523,354.694885,354.694885,351.729523,351.741669,354.708740,354.708740,351.741669,351.741669,354.708740,354.708740,351.741669,351.741669,354.708740,354.708740,351.741669,351.734467,354.700409,354.700409,351.734467,351.734467,354.700409,354.700409,351.734467,351.734467,354.700409,354.700409,351.734467,351.774017,354.745483,354.745483,351.774017,351.774017,354.745483,354.745483,351.774017,351.774017,354.745483,354.745483,351.774017,1.306878,1.294757,1.294757,1.306878,1.306878,1.294757,1.294757,1.306878,1.306878,1.294757,1.294757,1.306878,1.306914,1.294784,1.294784,1.306914,1.306914,1.294784,1.294784,1.306914,1.306914,1.294784,1.294784,1.306914,1.306984,1.294860,1.294860,1.306984,1.306984,1.294860,1.294860,1.306984,1.306984,1.294860,1.294860,1.306984,1.306931,1.294781,1.294781,1.306931,1.306931,1.294781,1.294781,1.306931,1.306931,1.294781,1.294781,1.306931
110.000000,349.770874,353.651733,353.651733,349.770874,349.770874,353.651733,353.651733,349.770874,349.770874,353.651733,353.651733,349.770874,349.782532,353.665314,353.665314,349.782532,349.782532,353.665314,353.665314,349.782532,349.782532,353.665314,353.665314,349.782532,349.775604,353.657104,353.657104,349.775604,349.775604,353.657104,353.657104,349.775604,349.775604,353.657104,353.657104,349.775604,349.813782,353.701447,353.701447,349.813782,349.813782,353.701447,353.701447,349.813782,349.813782,353.701447,353.701447,349.813782,2.924290,2.914224,2.914224,2.924290,2.924290,2.914224,2.914224,2.924290,2.924290,2.914224,2.914224,2.924290,2.943972,2.932895,2.932895,2.943972,2.943972,2.932895,2.932895,2.943972,2.943972,2.932895,2.932895,2.943972,2.948322,2.937076,2.937076,2.948322,2.948322,2.937076,2.937076,2.948322,2.948322,2.937076,2.937076,2.948322,2.900847,2.891744,2.891744,2.900847,2.900847,2.891744,2.891744,2.900847,2.900847,2.891744,2.891744,2.900847
120.000000,347.883820,352.627838,352.627838,347.883820,347.883820,352.627838,352.627838,347.883820,347.883820,352.627838,352.627838,347.883820,347.895050,352.641144,352.641144,347.895050,347.895050,352.641144,352.641144,347.895050,347.895050,352.641144,352.641144,347.895050,347.888336,352.633087,352.633087,347.888336,347.888336,352.633087,352.633087,347.888336,347.888336,352.633087,352.633087,347.888336,347.925140,352.676636,352.676636,347.925140,347.925140,352.676636,352.676636,347.925140,347.925140,352.676636,352.676636,347.925140,3.802805,3.801637,3.801637,3.802805,3.802805,3.801637,3.801637,3.802805,3.802805,3.801637,3.801637,3.802805,3.802797,3.801629,3.801629,3.802797,3.802797,3.801629,3.801629,3.802797,3.802797,3.801629,3.801629,3.802797,3.802797,3.801629,3.801629,3.802797,3.802797,3.801629,3.801629,3.802797,3.802797,3.801629,3.801629,3.802797,3.802803,3.801633,3.801633,3.802803,3.802803,3.801633,3.801633,3.802803,3.802803,3.801633,3.801633,3.802803
130.000000,346.065765,351.622833,351.622833,346.065765,346.065765,351.622833,351.622833,346.065765,346.065765,351.622833,351.622833,346.065765,346.076569,351.635864,351.635864,346.076569,346.076569,351.635864,351.635864,346.076569,346.076569,351.635864,351.635864,346.076569,346.070099,351.627960,351.627960,346.070099,346.070099,351.627960,351.627960,346.070099,346.070099,351.627960,351.627960,346.070099,346.105560,351.670715,351.670715,346.105560,346.105560,351.670715,351.670715,346.105560,346.105560,351.670715,351.670715,346.105560,3.848356,3.847429,3.847429,3.848356,3.848356,3.847429,3.847429,3.848356,3.848356,3.847429,3.847429,3.848356,3.848344,3.847416,3.847416,3.848344,3.848344,3.847416,3.847416,3.848344,3.848344,3.847416,3.847416,3.848344,3.848341,3.847414,3.847414,3.848341,3.848341,3.847414,3.847414,3.848341,3.848341,3.847414,3.847414,3.848341,3.848343,3.847414,3.847414,3.848343,3.848343,3.847414,3.847414,3.848343,3.848343,3.847414,3.847414,3.848343
140.000000,344.314148,350.636353,350.636353,344.314148,344.314148,350.636353,350.636353,344.314148,344.314148,350.636353,350.636353,344.314148,344.324554,350.649139,350.649139,344.324554,344.324554,350.649139,350.649139,344.324554,344.324554,350.649139,350.649139,344.324554,344.318329,350.641388,350.641388,344.318329,344.318329,350.641388,350.641388,344.318329,344.318329,350.641388,350.641388,344.318329,344.352509,350.683350,350.683350,344.352509,344.352509,350.683350,350.683350,344.352509,344.352509,350.683350,350.683350,344.352509,3.875223,3.874430,3.874430,3.875223,3.875223,3.874430,3.874430,3.875223,3.875223,3.874430,3.874430,3.875223,3.875210,3.874417,3.874417,3.875210,3.875210,3.874417,3.874417,3.875210,3.875210,3.874417,3.874417,3.875210,3.875206,3.874413,3.874413,3.875206,3.875206,3.874413,3.874413,3.875206,3.875206,3.874413,3.874413,3.875206,3.875207,3.874413,3.874413,3.875207,3.875207,3.874413,3.874413,3.875207,3.875207,3.874413,3.874413,3.875207
150.000000,342.626556,349.668060,349.668060,342.626556,342.626556,349.668060,349.668060,342.626556,342.626556,349.668060,349.668060,342.626556,342.636597,349.680634,349.680634,342.636597,342.636597,349.680634,349.680634,342.636597,342.636597,349.680634,349.680634,342.636597,342.630585,349.673035,349.673035,342.630585,342.630585,349.673035,349.673035,342.630585,342.630585,349.673035,349.673035,342.630585,342.663513,349.714203,349.714203,342.663513,342.663513,349.714203,349.714203,342.663513,342.663513,349.714203,349.714203,342.663513,3.894402,3.893713,3.893713,3.894402,3.894402,3.893713,3.893713,3.894402,3.894402,3.893713,3.893713,3.894402,3.894389,3.893700,3.893700,3.894389,3.894389,3.893700,3.893700,3.894389,3.894389,3.893700,3.893700,3.894389,3.894384,3.893696,3.893696,3.894384,3.894384,3.893696,3.893696,3.894384,3.894384,3.893696,3.893696,3.894384,3.894386,3.893696,3.893696,3.894386,3.894386,3.893696,3.893696,3.894386,3.894386,3.893696,3.893696,3.894386
160.000000,341.000671,348.717651,348.717651,341.000671,341.000671,348.717651,348.717651,341.000671,341.000671,348.717651,348.717651,341.000671,341.010345,348.729980,348.729980,341.010345,341.010345,348.729980,348.729980,341.010345,341.010345,348.729980,348.729980,341.010345,341.004547,348.722504,348.722504,341.004547,341.004547,348.722504,348.722504,341.004547,341.004547,348.722504,348.722504,341.004547,341.036285,348.762939,348.762939,341.036285,341.036285,348.762939,348.762939,341.036285,341.036285,348.762939,348.762939,341.036285,3.909374,3.908779,3.908779,3.909374,3.909374,3.908779,3.908779,3.909374,3.909374,3.908779,3.908779,3.909374,3.909361,3.908766,3.908766,3.909361,3.909361,3.908766,3.908766,3.909361,3.909361,3.908766,3.908766,3.909361,3.909356,3.908761,3.908761,3.909356,3.909356,3.908761,3.908761,3.909356,3.909356,3.908761,3.908761,3.909356,3.909357,3.908762,3.908762,3.909357,3.909357,3.908762,3.908762,3.909357,3.909357,3.908762,3.908762,3.909357
170.000000,339.434235,347.784760,347.784760,339.434235,339.434235,347.784760,347.784760,339.434235,339.434235,347.784760,347.784760,339.434235,339.443542,347.796875,347.796875,339.443542,339.443542,347.796875,347.796875,339.443542,339.443542,347.796875,347.796875,339.443542,339.437958,347.789551,347.789551,339.437958,339.437958,347.789551,347.789551,339.437958,339.437958,347.789551,347.789551,339.437958,339.468536,347.829224,347.829224,339.468536,339.468536,347.829224,347.829224,339.468536,339.468536,347.829224,347.829224,339.468536,3.921717,3.921213,3.921213,3.921717,3.921717,3.921213,3.921213,3.921717,3.921717,3.921213,3.921213,3.921717,3.921704,3.921200,3.921200,3.921704,3.921704,3.921200,3.921200,3.921704,3.921704,3.921200,3.921200,3.921704,3.921699,3.921195,3.921195,3.921699,3.921699,3.921195,3.921195,3.921699,3.921699,3.921195,3.921195,3.921699,3.921700,3.921196,3.921196,3.921700,3.921700,3.921196,3.921196,3.921700,3.921700,3.921196,3.921196,3.921700
180.000000,337.925049,346.869080,346.869110,337.925049,337.925049,346.869110,346.869110,337.925049,337.925049,346.869080,346.869110,337.925049,337.933990,346.880981,346.880981,337.933990,337.933990,346.880981,346.880981,337.933990,337.933990,346.880981,346.880981,337.933990,337.928650,346.873779,346.873779,337.928650,337.928650,346.873779,346.873779,337.928650,337.928650,346.873779,346.873779,337.928650,337.958099,346.912720,346.912720,337.958099,337.958099,346.912720,346.912720,337.958099,337.958099,346.912720,346.912720,337.958099,3.932154,3.931738,3.931738,3.932154,3.932154,3.931738,3.931738,3.932154,3.932154,3.931738,3.931738,3.932154,3.932141,3.931725,3.931725,3.932141,3.932141,3.931725,3.931725,3.932141,3.932141,3.931725,3.931725,3.932141,3.932136,3.931720,3.931720,3.932136,3.932136,3.931720,3.931720,3.932136,3.932136,3.931720,3.931720,3.932136,3.932137,3.931721,3.931721,3.932137,3.932137,3.931721,3.931721,3.932137,3.932137,3.931721,3.931721,3.932137
190.000000,336.471039,345.970306,345.970306,336.471039,336.471039,345.970306,345.970306,336.471039,336.471039,345.970306,345.970306,336.471039,336.479675,345.981964,345.981964,336.479675,336.479675,345.981964,345.981964,336.479675,336.479675,345.981964,345.981964,336.479675,336.474487,345.974915,345.974915,336.474487,336.474487,345.974915,345.974915,336.474487,336.474487,345.974915,345.974915,336.474487,336.502869,346.013123,346.013123,336.502869,336.502869,346.013123,346.013123,336.502869,336.502869,346.013123,346.013123,336.502869,3.940996,3.940662,3.940662,3.940996,3.940996,3.940662,3.940662,3.940996,3.940996,3.940662,3.940662,3.940996,3.940984,3.940649,3.940649,3.940984,3.940984,3.940649,3.940649,3.940984,3.940984,3.940649,3.940649,3.940984,3.940979,3.940645,3.940645,3.940979,3.940979,3.940645,3.940645,3.940979,3.940979,3.940645,3.940645,3.940979,3.940980,3.940645,3.940645,3.940980,3.940980,3.940645,3.940645,3.940980,3.940980,3.940645,3.940645,3.940980
